Freq,Freq_err,Rb85,Rb85_err,Rb87,Rb87_err
kHz,kHz,T,T,T,T
25,0,5.20451081e-06,3.55146290e-07,3.38898378e-06,3.62417821e-07
50,0,1.07069543e-05,4.01911630e-07,7.05107248e-06,3.71194582e-07
75,0,1.60759487e-05,4.41109154e-07,1.07441958e-05,3.98285386e-07
100,0,2.13952877e-05,4.76506599e-07,1.43131806e-05,4.53948229e-07
125,0,2.66401436e-05,5.51462239e-07,1.78138891e-05,4.73471637e-07
150,0,3.21022420e-05,6.22412004e-07,2.14014946e-05,6.12157948e-07
175,0,3.74526156e-05,7.35908752e-07,2.50263418e-05,6.23865775e-07
195,0,4.17229835e-05,7.01179581e-07,2.78939434e-05,5.54748185e-07
300,0,6.41348900e-05,6.81759586e-07,4.25596013e-05,5.33796252e-07
400,0,8.55053121e-05,7.74179151e-07,5.71148143e-05,5.77267488e-07
500,0,1.07082726e-04,8.57323841e-07,7.12563261e-05,6.30350688e-07
