Freq,Freq_err,Rb85,Rb85_err,Rb87,Rb87_err
kHz,kHz,V,V,V,V
25,0,9.08000000e-02,2.24535075e-02,5.92000000e-02,1.98232187e-02
50,0,1.74400000e-01,2.07074866e-02,1.17200000e-01,1.98191826e-02
75,0,2.60400000e-01,1.91791554e-02,1.75600000e-01,1.83259379e-02
100,0,3.44000000e-01,2.30199913e-02,2.32400000e-01,2.22530897e-02
125,0,4.31200000e-01,2.22997758e-02,2.86000000e-01,2.04860928e-02
150,0,5.20000000e-01,2.11962261e-02,3.43600000e-01,2.26944927e-02
175,0,6.04000000e-01,2.19526764e-02,4.00400000e-01,2.06106768e-02
195,0,6.72800000e-01,2.22207111e-02,4.52000000e-01,2.01673003e-02
25,0,8.45000000e-02,6.21852072e-03,5.49000000e-02,5.89491306e-03
50,0,1.72500000e-01,6.39921870e-03,1.13600000e-01,5.94474558e-03
75,0,2.59000000e-01,6.94982014e-03,1.73100000e-01,6.33955834e-03
100,0,3.44700000e-01,7.41822081e-03,2.30600000e-01,7.19305220e-03
125,0,4.29200000e-01,8.53697839e-03,2.87000000e-01,7.44848978e-03
150,0,5.17200000e-01,9.57914401e-03,3.44800000e-01,9.66229786e-03
175,0,6.03400000e-01,1.13401940e-02,4.03200000e-01,9.78161541e-03
195,0,6.72200000e-01,1.06188512e-02,4.49400000e-01,8.55803716e-03
