Freq,Freq_err,dip1,udip1,dip2,udip2,dip3,udip3,dip4,udip4,dip5,udip5,dip6,udip6
MHz,MHz,T,T,T,T,T,T,T,T,T,T,T,T
8.83,0,1.88271973e-03,1.14736095e-05,1.89379289e-03,1.14697411e-05,1.90469226e-03,1.14704929e-05,1.91596404e-03,1.14783989e-05,1.92708686e-03,1.14787060e-05,1.93855727e-03,1.14791924e-05
6.9,0,1.47556694e-03,8.93360855e-06,1.48230766e-03,8.93305967e-06,1.48901115e-03,8.93841091e-06,1.49568980e-03,8.93385456e-06,1.50244294e-03,8.93753973e-06,1.50914643e-03,8.93683430e-06
5.9,0,1.26296426e-03,7.71101505e-06,1.26785532e-03,7.71167553e-06,1.27277121e-03,7.70868021e-06,1.27757537e-03,7.70979466e-06,1.28259057e-03,7.71100328e-06,1.28751887e-03,7.71078589e-06
7,0,1.49268373e-03,8.99607725e-06,1.49951135e-03,9.00056486e-06,1.50653759e-03,9.00133139e-06,1.51353901e-03,8.99861175e-06,1.52076388e-03,9.01269812e-06,1.52779012e-03,9.01482885e-06
8.93,0,1.90322039e-03,1.15980141e-05,1.91454183e-03,1.15930040e-05,1.92586327e-03,1.15960125e-05,1.93738333e-03,1.15976931e-05,1.94882891e-03,1.16074196e-05,1.96052277e-03,1.16026185e-05
3.6,0,7.71917432e-04,4.58784797e-06,7.73773304e-04,4.58858440e-06,7.75666418e-04,4.59014780e-06,7.77516083e-04,4.59000539e-06,7.79402990e-04,4.58955771e-06,7.81215413e-04,4.59053267e-06
2.5,0,5.36856720e-04,3.16249665e-06,5.37775346e-04,3.16471202e-06,5.38675351e-04,3.16479523e-06,5.39587770e-04,3.16253917e-06,5.40518809e-04,3.16906541e-06,5.41350538e-04,3.16915257e-06
1.5,0,3.21702181e-04,1.86834607e-06,3.21962872e-04,1.86980805e-06,3.22235977e-04,1.88877540e-06,3.22682876e-04,1.89025742e-06,3.23005636e-04,1.87975999e-06,3.23303569e-04,1.88315845e-06
8.65,0,1.84593911e-03,1.12204964e-05,1.85666469e-03,1.12148299e-05,1.86726612e-03,1.12206791e-05,1.87789239e-03,1.12224901e-05,1.88851865e-03,1.12320977e-05,1.89942423e-03,1.12462884e-05
9.02,0,1.91837099e-03,1.39570656e-05,1.92965086e-03,1.39603241e-05,1.94147613e-03,1.39583596e-05,1.95290474e-03,1.39596276e-05,1.96473001e-03,1.39636368e-05,1.95796209e-03,3.10859231e-05
7.75,0,1.65312528e-03,1.20068028e-05,1.66048819e-03,1.20127778e-05,1.66906584e-03,1.20112958e-05,1.67828807e-03,1.20133214e-05,1.68691531e-03,1.20133815e-05,1.69541859e-03,1.20205535e-05
6.9,0,1.47324367e-03,1.07208760e-05,1.47986285e-03,1.07196421e-05,1.48650681e-03,1.07184631e-05,1.49332432e-03,1.07207875e-05,1.49999307e-03,1.07222221e-05,1.50673620e-03,1.07269307e-05
5.3,0,1.13388890e-03,8.25067605e-06,1.13784305e-03,8.25159229e-06,1.14172903e-03,8.25189558e-06,1.14571417e-03,8.25368084e-06,1.14972410e-03,8.25263283e-06,1.15369684e-03,8.25226800e-06
4.45,0,9.52003776e-04,6.79615254e-06,9.54755568e-04,6.79678570e-06,9.57594128e-04,6.79629645e-06,9.60426491e-04,6.79892379e-06,9.63258853e-04,6.80166944e-06,9.66016843e-04,6.80031860e-06
4.3,0,9.21082938e-04,6.76496823e-06,9.23692183e-04,6.76553437e-06,9.26338614e-04,6.76522101e-06,9.28867287e-04,6.76441662e-06,9.31470334e-04,6.76599448e-06,9.34184940e-04,6.76565419e-06
2.9,0,6.22182056e-04,4.53335165e-06,6.23341031e-04,4.53254809e-06,6.24580577e-04,4.53437071e-06,6.25665180e-04,4.53386081e-06,6.27059669e-04,4.53196456e-06,6.28293017e-04,4.53399337e-06
1.75,0,3.75754609e-04,2.62889782e-06,3.76337195e-04,2.63234574e-06,3.76808223e-04,2.62717676e-06,3.77136703e-04,2.62647081e-06,3.77644916e-04,2.63128448e-06,3.78115944e-04,2.63436139e-06
