Freq,Freq_err,dip1,udip1,dip2,udip2,dip3,udip3,dip4,udip4,dip5,udip5,dip6,udip6
MHz,MHz,T,T,T,T,T,T,T,T,T,T,T,T
1.5,0,3.18224582e-04,1.83061585e-06,3.18485273e-04,1.83210558e-06,3.18758378e-04,1.85145675e-06,3.19205277e-04,1.85296462e-06,3.19528037e-04,1.84225180e-06,3.19825970e-04,1.84571664e-06
2.5,0,5.31198252e-04,3.08533157e-06,5.32116878e-04,3.08759737e-06,5.33016883e-04,3.08767781e-06,5.33929301e-04,3.08536046e-06,5.34860341e-04,3.09204459e-06,5.35692069e-04,3.09212946e-06
3.6,0,7.63904603e-04,4.47100067e-06,7.65760475e-04,4.47174945e-06,7.67653589e-04,4.47334665e-06,7.69503254e-04,4.47319365e-06,7.71390160e-04,4.47272728e-06,7.73221205e-04,4.47417631e-06
7,0,1.47742141e-03,8.76069469e-06,1.48424904e-03,8.76528988e-06,1.49127528e-03,8.76606367e-06,1.49827670e-03,8.76325775e-06,1.50550156e-03,8.77770814e-06,1.51252781e-03,8.77988261e-06
8.93,0,1.88367930e-03,1.12933038e-05,1.89500074e-03,1.12881417e-05,1.90632218e-03,1.12912149e-05,1.91784224e-03,1.12929239e-05,1.92928782e-03,1.13028959e-05,1.94098168e-03,1.12979481e-05
8.83,0,1.86338517e-03,1.11722749e-05,1.87445834e-03,1.11682856e-05,1.88535771e-03,1.11690415e-05,1.89662949e-03,1.11771440e-05,1.90775231e-03,1.11774428e-05,1.91922272e-03,1.11779253e-05
6.9,0,1.46039757e-03,8.69959003e-06,1.46713829e-03,8.69901352e-06,1.47384178e-03,8.70449584e-06,1.48052043e-03,8.69980424e-06,1.48727357e-03,8.70357562e-06,1.49397706e-03,8.70283844e-06
5.9,0,1.24980399e-03,7.50966394e-06,1.25469505e-03,7.51033130e-06,1.25961094e-03,7.50724477e-06,1.26441510e-03,7.50837850e-06,1.26943030e-03,7.50960845e-06,1.27435860e-03,7.50937432e-06
8.65,0,1.82701763e-03,1.09257917e-05,1.83774321e-03,1.09199559e-05,1.84834464e-03,1.09259469e-05,1.85897091e-03,1.09277906e-05,1.86959717e-03,1.09376409e-05,1.88050275e-03,1.09521966e-05
2.5,0,5.31719066e-04,3.14763523e-06,5.32488725e-04,3.15640960e-06,5.33283212e-04,3.15179981e-06,5.34152183e-04,3.16117148e-06,5.35070808e-04,3.15044046e-06,5.35964606e-04,3.16071337e-06
