Freq,Freq_err,dip1,udip1,dip2,udip2,dip3,udip3,dip4,udip4,dip5,udip5,dip6,udip6
MHz,MHz,T,T,T,T,T,T,T,T,T,T,T,T
8.65,0,1.84262358e-03,1.20087001e-05,1.85334916e-03,1.20033909e-05,1.86395059e-03,1.20088413e-05,1.87457686e-03,1.20105188e-05,1.88520312e-03,1.20194818e-05,1.89610870e-03,1.20327289e-05
8.93,0,1.89981031e-03,1.24126527e-05,1.91113175e-03,1.24079564e-05,1.92245319e-03,1.24107522e-05,1.93397325e-03,1.24123071e-05,1.94541883e-03,1.24213805e-05,1.95711269e-03,1.24168784e-05
7,0,1.49165925e-03,9.63911566e-06,1.49848687e-03,9.64329227e-06,1.50551312e-03,9.64399561e-06,1.51251454e-03,9.64144520e-06,1.51973940e-03,9.65458126e-06,1.52676565e-03,9.65655828e-06
3.6,0,7.70266580e-04,4.91098190e-06,7.72122452e-04,4.91166360e-06,7.74015566e-04,4.91311779e-06,7.75865231e-04,4.91297849e-06,7.77752137e-04,4.91255387e-06,7.79583182e-04,4.91387321e-06
2.5,0,5.35565147e-04,3.38591268e-06,5.36483773e-04,3.38797747e-06,5.37383777e-04,3.38805078e-06,5.38296196e-04,3.38593901e-06,5.39227236e-04,3.39203089e-06,5.40058964e-04,3.39210825e-06
1.5,0,3.20743411e-04,1.99965876e-06,3.21004102e-04,2.00102264e-06,3.21277207e-04,2.01875528e-06,3.21724106e-04,2.02013828e-06,3.22046867e-04,2.01031651e-06,3.22344799e-04,2.01349216e-06
5.9,0,1.26052790e-03,8.25365736e-06,1.26541896e-03,8.25426457e-06,1.27033485e-03,8.25145632e-06,1.27513901e-03,8.25248780e-06,1.28015421e-03,8.25360687e-06,1.28508251e-03,8.25339385e-06
6.9,0,1.47282399e-03,9.56189610e-06,1.47956471e-03,9.56137158e-06,1.48626820e-03,9.56635972e-06,1.49294685e-03,9.56209099e-06,1.49969999e-03,9.56552241e-06,1.50640348e-03,9.56485166e-06
8.83,0,1.87934116e-03,1.22793440e-05,1.89041433e-03,1.22757145e-05,1.90131370e-03,1.22764022e-05,1.91258548e-03,1.22837743e-05,1.92370830e-03,1.22840462e-05,1.93517871e-03,1.22844852e-05
