Freq,Freq_err,dip1,udip1,dip2,udip2,dip3,udip3,dip4,udip4,dip5,udip5,dip6,udip6
MHz,MHz,T,T,T,T,T,T,T,T,T,T,T,T
8.65,0,1.81322438e-03,1.95466631e-05,1.82394082e-03,1.95461793e-05,1.83453324e-03,1.95465969e-05,1.84515045e-03,1.95474661e-05,1.85576767e-03,1.95491258e-05,1.86666397e-03,1.95515433e-05
7.2,0,1.51000924e-03,1.61688244e-05,1.51732718e-03,1.61686515e-05,1.52439706e-03,1.61691668e-05,1.53177702e-03,1.61709441e-05,1.53940504e-03,1.61720460e-05,1.54709509e-03,1.61738610e-05
4.45,0,9.34538484e-04,9.75985978e-06,9.37316821e-04,9.76039267e-06,9.39971126e-04,9.76134857e-06,9.42761868e-04,9.76229420e-06,9.45502996e-04,9.76323162e-06,9.48368157e-04,9.76433245e-06
3.6,0,7.68026910e-04,8.36637396e-06,7.70011437e-04,8.36624568e-06,7.71673479e-04,8.36609356e-06,7.73608393e-04,8.36596766e-06,7.75419274e-04,8.36574152e-06,7.77180541e-04,8.36575888e-06
2.5,0,5.27783756e-04,5.56757689e-06,5.28552760e-04,5.56794632e-06,5.29346571e-04,5.56795234e-06,5.30214802e-04,5.56837939e-06,5.31132645e-04,5.56826143e-06,5.32025683e-04,5.56874687e-06
7,0,1.47079079e-03,2.41799759e-05,1.47761260e-03,2.41817851e-05,1.48463287e-03,2.41823510e-05,1.49162833e-03,2.41817568e-05,1.49884704e-03,2.41875650e-05,1.50586731e-03,2.41890524e-05
3.6,0,7.57924307e-04,1.22643540e-05,7.59778599e-04,1.22647828e-05,7.61670101e-04,1.22655429e-05,7.63518192e-04,1.22656808e-05,7.65403493e-04,1.22657277e-05,7.67232979e-04,1.22664842e-05
2.5,0,5.26622481e-04,8.41736704e-06,5.27540325e-04,8.41832253e-06,5.28439564e-04,8.41848207e-06,5.29351206e-04,8.41777231e-06,5.30281453e-04,8.42036845e-06,5.31112474e-04,8.42053768e-06
1.5,0,3.14784837e-04,4.86359458e-06,3.15045306e-04,4.86423227e-06,3.15318178e-04,4.87162370e-06,3.15764697e-04,4.87233287e-06,3.16087183e-04,4.86837639e-06,3.16384862e-04,4.86978050e-06
8.93,0,1.86942606e-03,3.10941648e-05,1.88073787e-03,3.10920288e-05,1.89204967e-03,3.10931543e-05,1.90355993e-03,3.10940691e-05,1.91499577e-03,3.10982625e-05,1.92667967e-03,3.10973482e-05
